resources_count,followers_count,honor_score,views_count,likes_count,favorites_count,comments_count,duration,title,embed_url
119,5658,4882,32126,196,81,26,03:51,Dreamlife,https://www.djivideos.com/video_play/db277395-1065-49c9-97c8-dd1968f6b1d2
29,33,289,3047,13,1,0,03:46,"OVER SOME PLACE - ""Shelter Village""",https://www.djivideos.com/video_play/73d53f93-6f90-4613-9916-0303f289f627
23,293,737,27520,83,25,3,02:18,Summit,https://www.djivideos.com/video_play/441bc391-125c-4fb0-82ae-2e77351759dd
26,525,574,15147,77,13,4,04:26,Father and Son Journey Through Armenia and Georgia ,https://www.djivideos.com/video_play/9e98878d-e741-4496-bb9e-3f23d14fb74d
14,81,370,19358,85,23,6,02:21,Moments from Scotland,https://www.djivideos.com/video_play/7f01b72d-60f8-4964-8e42-8850023f4e54
22,75,202,12604,49,17,17,04:59,Home: The Philippines From a New Perspective,https://www.djivideos.com/video_play/79273d46-10df-48d6-9c4b-a7efda02eb69
134,1677,3032,26696,132,44,15,02:29,2017澳洲自驾.m4v,https://www.djivideos.com/video_play/fa209dbe-afa0-4ba6-85c2-ef2ffa259216
33,770,1818,24066,87,19,19,03:10,Night Shift 子夜,https://www.djivideos.com/video_play/bcbc64bb-2e5e-493b-9fca-e656f7dc4cb1
341,1078,3053,14107,41,13,1,05:09,遇见中土世界 广袤新西兰 Meet New Zealand,https://www.djivideos.com/video_play/8a53852a-69ea-4704-a1d1-fcc99ccc8ec8
14,116,171,24346,79,23,7,01:38,HIDDEN PARADISE - WHITING BEACH - AUSTRALIA,https://www.djivideos.com/video_play/718472be-8a0e-45c6-ad3f-2b3aefacd701
30,317,578,18195,51,14,5,00:38,LAGUNA VERDE,https://www.djivideos.com/video_play/f6b15b15-2d36-49c0-b197-fd5af254bfb4
28,292,920,82208,298,88,45,03:00,The City of Cape Town,https://www.djivideos.com/video_play/3933698e-9863-4cca-8347-03d5987781cf
30,317,578,32599,200,67,31,00:48,GOAL FINAL LIGA AGUILA 2017,https://www.djivideos.com/video_play/e4fa4621-53dd-4dc4-949f-b5618209f29a
101,62,297,8726,34,13,1,09:08,加拿大落基山脉冬季航拍集锦,https://www.djivideos.com/video_play/c8c8de3a-19df-4b50-8379-86f85b126f1b
1,62,65,23260,62,11,6,02:24,冬天的贝加尔湖,https://www.djivideos.com/video_play/ff5ddbcf-b099-4dce-937f-35b6d5e399d0
91,475,1742,33131,146,59,13,01:52,Drone Promotions 2017 Lake Tahoe Reel - 4k,https://www.djivideos.com/video_play/52fd12b7-ef8f-4c51-a3ec-6c347c28b8c3
100,15679,3133,212122,1420,288,344,04:59,《爱上飞2》前奏篇,https://www.djivideos.com/video_play/6f1eb639-935f-4f20-9f6b-b1361f51ff6b
15,109,116,21360,116,29,6,03:10,杭雪,https://www.djivideos.com/video_play/5adf6075-8159-4d19-b50a-d1c330c83666
3,59,83,31295,82,37,17,04:25,NewZealand South Island.mov,https://www.djivideos.com/video_play/e34f46a2-f5e6-43b8-aae6-859a42750d71
630,5200,8097,890302,1264,80,212,04:57,Tangdao  Bay  | 唐岛湾,https://www.djivideos.com/video_play/1cb4c73a-c58e-420f-adf9-561dcd39ebd2
77,3726,2154,122855,2109,86,67,03:40,遇见你的城,https://www.djivideos.com/video_play/3062c04c-0bfa-44b2-9281-61e67a1db544
7,129,180,35685,179,70,16,03:31,An Icelandic Summer,https://www.djivideos.com/video_play/c5cf7369-b399-49e4-a07e-5b6395456a60
52,1403,2230,122043,482,120,57,03:38,Icarus,https://www.djivideos.com/video_play/fd89f938-612b-4568-ac05-90717b74e1ab
52,1403,2230,32468,136,71,8,02:56,Vindur,https://www.djivideos.com/video_play/d4c6a19b-ac87-47f4-9ffe-c50c6c3334e2
16,222,266,35680,500,24,30,03:05,穿越羊狮幕,https://www.djivideos.com/video_play/29160bad-c943-4219-a997-c8a2703096d7
21,207,478,25167,115,28,6,02:52,Isle of Skye,https://www.djivideos.com/video_play/f9081433-8f70-4207-8c4a-5d61f04a4f49
41,1726,1390,213102,1973,101,205,05:00,EPIC OF TANNA,https://www.djivideos.com/video_play/84a7f757-88d8-4899-8ba0-6be7a0ce8415
21,207,478,29854,120,38,8,04:02,Dorset.mp4,https://www.djivideos.com/video_play/ab97eaa2-7fed-47da-98c1-f7e89ed862bf
7,267,300,2028,31,14,15,03:07,第比利斯To go丨不完全旅行,https://www.djivideos.com/video_play/6dc32b10-6638-44ec-a97a-514c76fa68e5
4,91,188,4248,38,4,3,03:39,Zumaia - Algorri Flysh  -  Zumaia-Basque Country (Spain) ,https://www.djivideos.com/video_play/50cb0e36-4752-48ff-b6d6-ba614d0b570f
100,1972,2507,30873,103,36,6,03:28,遇见.喀纳斯,https://www.djivideos.com/video_play/8224bc94-0b74-408c-ac8e-c77bd15d601a
68,7478,3806,26673,148,43,18,02:17,Sun Down Under.m4v,https://www.djivideos.com/video_play/5a79fc53-314a-4b04-a221-6498c67452de
200,1432,4250,31259,155,61,24,01:16,This Little World,https://www.djivideos.com/video_play/6d587bd5-fdd4-4293-8408-e2b487f31ad1
30,317,578,28479,112,42,14,00:51,"FLYING WITH FLAMINGOS, BOLIVIA,",https://www.djivideos.com/video_play/9269de69-c140-4950-abb5-0a101889bb00
10,63,107,9134,58,22,7,01:53,Let's go | HuiZhou Travel游记,https://www.djivideos.com/video_play/8f88e5eb-111c-4866-a1d3-9f99e7e331da
51,135,302,5486,55,19,8,02:41,The Beauty of Nature（1080P）,https://www.djivideos.com/video_play/a6844755-e5c0-4e56-a481-4f7eab8041a9
51,135,302,5034,42,17,6,04:36,The Soul of the City（1080P）,https://www.djivideos.com/video_play/094bb034-df2d-4e24-8cb5-09eeb332cac7
22,459,356,12446,53,26,10,02:17,遇见《鼓浪屿》,https://www.djivideos.com/video_play/62067c48-0010-4442-95de-687980e46a03
26,47,78,3741,46,11,1,00:58,Mountain Bike CHILE.mp4,https://www.djivideos.com/video_play/ac474174-f90c-4400-af6b-2d5859e9991e
1,38,66,18647,75,31,6,01:25,Ji?í Klemenc Skypixel.mp4,https://www.djivideos.com/video_play/fb8713b9-0b04-4989-b456-6715ce676113
68,252,387,53665,197,38,28,03:47,纳木措-圣象天门,https://www.djivideos.com/video_play/43b091c0-5d9b-4c5b-9c49-61e045f5aa14
3,51,83,24898,64,17,9,04:58,The Barefoot Revolution,https://www.djivideos.com/video_play/d94f8ced-ff51-4721-a674-926bb0e54d0a
